Name,Entry,Year,Title_Parsed,Abstract,Source,MatchScore,DOI,URL,Title,Department,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
Indranil Bardhan,"Lin, S., Xia, H. and Bardhan, I.R. 2022. A Comprehensive Investigation of the Effect of Audit Committee Financial Expertise on Earnings and Expectations Management Tactics in the Post-SOX Era. Journal of Management and Governance. 27, (Jul. 2022), 1339-1365. DOI:https://doi.org/https://doi.org/10.1007/s10997-022-09640-x.",2022,", Xia, H","BACKGROUND
Many mutations that contribute to the pathogenesis of acute myeloid leukemia (AML) are undefined. The relationships between patterns of mutations and epigenetic phenotypes are not yet clear.


METHODS
We analyzed the genomes of 200 clinically annotated adult cases of de novo AML, using either whole-genome sequencing (50 cases) or whole-exome sequencing (150 cases), along with RNA and microRNA sequencing and DNA-methylation analysis.


RESULTS
AML genomes have fewer mutations than most other adult cancers, with an average of only 13 mutations found in genes. Of these, an average of 5 are in genes that are recurrently mutated in AML. A total of 23 genes were significantly mutated, and another 237 were mutated in two or more samples. Nearly all samples had at least 1 nonsynonymous mutation in one of nine categories of genes that are almost certainly relevant for pathogenesis, including transcription-factor fusions (18% of cases), the gene encoding nucleophosmin (NPM1) (27%), tumor-suppressor genes (16%), DNA-methylation-related genes (44%), signaling genes (59%), chromatin-modifying genes (30%), myeloid transcription-factor genes (22%), cohesin-complex genes (13%), and spliceosome-complex genes (14%). Patterns of cooperation and mutual exclusivity suggested strong biologic relationships among several of the genes and categories.


CONCLUSIONS
We identified at least one potential driver mutation in nearly all AML samples and found that a complex interplay of genetic events contributes to AML pathogenesis in individual patients. The databases from this study are widely available to serve as a foundation for further investigations of AML pathogenesis, classification, and risk stratification. (Funded by the National Institutes of Health.).",Semantic Scholar,9.7560975609756,10.1056/NEJMoa1301689,https://www.semanticscholar.org/paper/6457feeb215ab59e6588fd0073aca689f65eecf1,,,Goal 3,0.01470764420221995,False,
Indranil Bardhan,"Bao, C. and Bardhan, I.R. 2022. Performance of Accountable Care Organizations: Effective information technology use and quality-efficiency trade-offs. Information Systems Research. Vol. 33, No. 2 (Jun. 2022), 697-717. DOI:https://doi.org/https://doi.org/10.1287/isre.2021.1080.",2022,"and Bardhan, I","Hospitalization of patients with chronic diseases poses a significant burden on the healthcare system. Frequent hospitalization can be partially attributed to the failure of healthcare providers to engage effectively with their patients. Recently, patient portals have become popular as information technology (IT) platforms that provide patients with online access to their medical records and help them engage effectively with healthcare providers. Despite the popularity of these portals, there is a paucity of research on the impact of patient–provider engagement on patients’ health outcomes. Drawing on the theory of effective use, we examine the association between portal use and the incidence of subsequent patient hospitalizations, based on a unique, longitudinal dataset of patients’ portal use, across a 12-year period at a large academic medical center in North Texas. Our results indicate that portal use is associated with improvements in patient health outcomes along multiple dimensions, including the frequency of hospital and emergency visits, readmission risk, and length of stay. This is one of the first studies to conduct a large-scale, longitudinal analysis of a health IT system and its effect on individual-level health outcomes. Our results highlight the need for technologies that can improve patient–provider engagement and improve overall health outcomes for chronic disease management.",Semantic Scholar,35.2941176470588,10.25300/misq/2020/14180,https://www.semanticscholar.org/paper/065d8e1dd965a817aeb32705dcd5dce2cdc31b8c,,,Goal 3,0.122814652996107,True,health systems
Lori Barnes,"Chory, R.M., Barnes, L.E. and Avtgis, T.A. 2016. “Organizational Surveillance of Computer-Mediated Workplace Communication: Employee Privacy Concerns and Responses.” Employee Responsibilities and Rights Journal. 28, (2016), 23-43. DOI:https://doi.org/doi.10.1007/s10672-015-9267-4.",2016,"Chory, R","Although pioneered by human geneticists as a potential solution to the challenging problem of finding the genetic basis of common human diseases, genome-wide association (GWA) studies have, owing to advances in genotyping and sequencing technology, become an obvious general approach for studying the genetics of natural variation and traits of agricultural importance. They are particularly useful when inbred lines are available, because once these lines have been genotyped they can be phenotyped multiple times, making it possible (as well as extremely cost effective) to study many different traits in many different environments, while replicating the phenotypic measurements to reduce environmental noise. Here we demonstrate the power of this approach by carrying out a GWA study of 107 phenotypes in Arabidopsis thaliana, a widely distributed, predominantly self-fertilizing model plant known to harbour considerable genetic variation for many adaptively important traits. Our results are dramatically different from those of human GWA studies, in that we identify many common alleles of major effect, but they are also, in many cases, harder to interpret because confounding by complex genetics and population structure make it difficult to distinguish true associations from false. However, a-priori candidates are significantly over-represented among these associations as well, making many of them excellent candidates for follow-up experiments. Our study demonstrates the feasibility of GWA studies in A. thaliana and suggests that the approach will be appropriate for many other organisms.",Semantic Scholar,7.61904761904762,10.1038/nature08800,https://www.semanticscholar.org/paper/a7b2b168555c75c4b25010b416f87cf5b3a1c2c2,,,Goal 15,0.01495916402520507,False,
Caroline Bartel,"Ritchie-Dunham, J.L., Yancey, G., Managi, S., Bartel, C.A., Bonhag, R., Johnson, B. and VanderWeele, T.J. 2025. Childhood Predictors of Social Support and Intimate Friends in a Cross-National Analysis of the Global Flourishing Study. Scientific Reports. 15, (Jul. 2025). DOI:https://doi.org/https://doi.org/10.1038/s41598-025-09953-5.",2025,"Ritchie-Dunham, J","In this perspectives article, we maintain that the current local to global sustainable development predicaments we face are the result of humanity's impact on the Earth System (ES)—that is to say, on the very systemic fabric of the ES (i.e., its functioning and configuration), combined with an insufficiently coherent application of sustainable development policy to address and resolve this systemic problem. In response to what is an urgent crisis, we propose four foundational guiding principles, which we contend provide an overarching framing that, if implemented, would offer an approach to steer global sustainable development policy in a manner that would be to the benefit of the ES and the securing of a flourishing future for all. Our principles are applicable at the levels from a local business ecosystem, national‐regional networks, to global policy.",Semantic Scholar,17.7215189873418,10.1111/basr.12349,https://www.semanticscholar.org/paper/bea3d92c9f2f11fb576a97ef3660bcf4a7030c16,,,Goal 12,0.1221703695944122,True,sustainable development; sustainable development policies
Anitesh Barua,"Karanam, S.A., Agarwal, A. and Barua, A. 2025. ""Follow Your Heart or Listen to Users? The Case of Mobile App Design"". Information Systems Research. 36, 3 (Sep. 2025), 1846-1870. DOI:https://doi.org/https://doi.org/10.1287/isre.2023.0060.",2025,"Karanam, S","This paper investigates methods for creating robust supply chains in a worldwide economy in light of growing disruptions. The primary goals were to evaluate supply chain resilience through integrating sustainable practices, investigate the impact of new technology, and explore solutions for diversification. A thorough analysis of case studies and literature regarding methodology was carried out, emphasizing secondary data sources from government publications, business reports, and scholarly journals. Significant research indicates that diversifying suppliers, production sites, and logistical routes can reduce the risks associated with localized interruptions. Proactive risk management requires enhanced visibility, predictive analytics, and operational efficiency, which may be achieved by integrating technologies like AI, IoT, blockchain, and cloud computing. Furthermore, integrating sustainability through ethical, sustainable sourcing, and resource-efficient methods reduces environmental and societal dangers and improves brand reputation and economic viability. The policy implications emphasize the need for frameworks that foster technology innovation, sustainability, and stakeholder collaboration. By implementing these tactics and resolving related issues, companies can construct flexible supply networks to sustain operations and competitiveness amidst fluctuations in the worldwide market.",Semantic Scholar,14.8936170212766,10.18034/ajtp.v11i1.719,https://www.semanticscholar.org/paper/03c17e753f14d611ae8987a9fde60c7b4f16be89,,,Goal 12,0.1062245040034674,True,corporate sustainability; environmentally friendly consumption; sustainability awareness; sustainability innovation; sustainable business practices; sustainable product design; sustainable supply chains
Anitesh Barua,"Sharma, V., Agarwal, A. and Barua, A. 2025. Demand-Side Effects of Open Innovation: The Case of Cryptocurrency Forking. Management Science. 71, 8 (Aug. 2025), 7136 - 7160. DOI:https://doi.org/https://doi.org/10.1287/mnsc.2021.03132.",2025,"Sharma, V",How to cite this article: Govindasaami V. Correspondence to “Covid-19-associated Pulmonary Aspergillosis: A Case Series” by Sharma et al. Indian J Crit Care Med 2023;27(5):370.,Semantic Scholar,13.4615384615385,10.5005/jp-journals-10071-24459,https://www.semanticscholar.org/paper/fd2e4eb6154330b9fa352d27e9d4ee719fc92311,,,Goal 1,0.01350952371307992,False,
Derrick Bonyuet,"Bonyuet, D. 2021. Impact of TMT Diversity on Firm Innovation. Journal of Economics & Financial Studies. 6, 1 (Aug. 2021), 1-10. DOI:https://doi.org/https://doi.org/10.18533/jefs.v6i1.321.",2021,"Bonyuet, D","Blockchain has become very popular as the underlying technology powering Bitcoin. However, the benefits behind this technology further surpass just supporting cryptocurrencies. Blockchain can be defined as a digital ledger that allows to capture transactions conducted among several parties on real-time and serves as a decentralized database where each participant keeps an identical copy of the ledger. The appeal behind blockchain resides on its peer-to-peer network infrastructure along cryptographic capabilities. This combination enables users to conduct transactions without a trusted third-party intermediary. Benefits in accounting are even more promising as blockchain will provide a triple entry accounting system where all transactions are immutable and have been time stamped, recorded on real-time and encrypted (Alarcon & Ng, 2018). The purpose of this paper is to review extant research on this technology and assess the impact of blockchain in the audit profession, including new risks, change in procedures and additional opportunities.",Semantic Scholar,18.1818181818182,10.4192/1577-8517-v20_2,https://www.semanticscholar.org/paper/9a0267c50ba1cfe839df6288d134934a2863f4c5,,,Goal 9,0.033310623361983,False,
Derrick Bonyuet,"Bonyuet, D. 2021. Managerial Characteristics as Drivers of Firm Performance. International Journal of Financial Research. 12, 4 (Mar. 2021), 24-32. DOI:https://doi.org/10.5430/ijfr.v12n4p24.",2021,"Bonyuet, D","Blockchain has become very popular as the underlying technology powering Bitcoin. However, the benefits behind this technology further surpass just supporting cryptocurrencies. Blockchain can be defined as a digital ledger that allows to capture transactions conducted among several parties on real-time and serves as a decentralized database where each participant keeps an identical copy of the ledger. The appeal behind blockchain resides on its peer-to-peer network infrastructure along cryptographic capabilities. This combination enables users to conduct transactions without a trusted third-party intermediary. Benefits in accounting are even more promising as blockchain will provide a triple entry accounting system where all transactions are immutable and have been time stamped, recorded on real-time and encrypted (Alarcon & Ng, 2018). The purpose of this paper is to review extant research on this technology and assess the impact of blockchain in the audit profession, including new risks, change in procedures and additional opportunities.",Semantic Scholar,18.1818181818182,10.4192/1577-8517-v20_2,https://www.semanticscholar.org/paper/9a0267c50ba1cfe839df6288d134934a2863f4c5,,,Goal 9,0.033310623361983,False,
Derrick Bonyuet,"Bonyuet, D. 2020. Overview and Impact of Blockchain on Auditing. International Journal of Digital Accounting Research. 20, 2020 (Mar. 2020), 31-43. DOI:https://doi.org/10.4192/1577-8517-v20_2.",2020,"Bonyuet, D","Blockchain has become very popular as the underlying technology powering Bitcoin. However, the benefits behind this technology further surpass just supporting cryptocurrencies. Blockchain can be defined as a digital ledger that allows to capture transactions conducted among several parties on real-time and serves as a decentralized database where each participant keeps an identical copy of the ledger. The appeal behind blockchain resides on its peer-to-peer network infrastructure along cryptographic capabilities. This combination enables users to conduct transactions without a trusted third-party intermediary. Benefits in accounting are even more promising as blockchain will provide a triple entry accounting system where all transactions are immutable and have been time stamped, recorded on real-time and encrypted (Alarcon & Ng, 2018). The purpose of this paper is to review extant research on this technology and assess the impact of blockchain in the audit profession, including new risks, change in procedures and additional opportunities.",Semantic Scholar,18.1818181818182,10.4192/1577-8517-v20_2,https://www.semanticscholar.org/paper/9a0267c50ba1cfe839df6288d134934a2863f4c5,,,Goal 9,0.033310623361983,False,
Jacob Bradt,"Bradt, J.T., Kousky, C. and Wing, O.E. 2021. Voluntary Purchases and Adverse Selection in the Market for Flood Insurance. Journal of Environmental Economics and Management. 110, (Oct. 2021), 102515. DOI:https://doi.org/https://doi.org/10.1016/j.jeem.2021.102515.",2021,"Bradt, J","Flood protection infrastructure investments, such as Army Corps of Engineer levees, can enhance resilience to flood risks amplified by climate change. We estimate the benefits from levees by exploiting repeat residential property transactions. In areas protected by levees, home values increase 3 percent. Levees impose adverse spillover flood risks to nearby areas that reduce affected home values by 1 percent. Capitalized benefits in protected areas are progressive, but adverse spillover impacts are regressive. While there is little variation across race in capitalized benefits at levee construction, racial sorting occurs post-construction. Capitalized residential property benefits do not exceed levee construction costs. JEL: Q54, Q58, H23, H22",Semantic Scholar,11.9047619047619,10.2139/ssrn.5198982,https://www.semanticscholar.org/paper/fd723323a707aec7e31a814864401f4b2897c34b,,,Goal 13,0.05106576598358969,True,climate resilience; climate-resilient development
Jacob Bradt,"Keenan, J.M. and Bradt, J.T. 2020. 'Underwaterwriting:' From Theory to Empiricism in Regional Mortgage Markets in the US. Climatic Change. 162, (Jun. 2020), 2043–2067. DOI:https://doi.org/https://doi.org/10.1007/s10584-020-02734-1.",2020,"Keenan, J","Sequencing the RNA in a biological sample can unlock a wealth of information, including the identity of bacteria and viruses, the nuances of alternative splicing or the transcriptional state of organisms. However, current methods have limitations due to short read lengths and reverse transcription or amplification biases. Here we demonstrate nanopore direct RNA-seq, a highly parallel, real-time, single-molecule method that circumvents reverse transcription or amplification steps. This method yields full-length, strand-specific RNA sequences and enables the direct detection of nucleotide analogs in RNA.",Semantic Scholar,16.9014084507042,10.1101/068809,https://www.semanticscholar.org/paper/9ad465668f3c669215305c5adfda48f17512ed8f,,,Goal 17,0.004186251890708762,False,
