title,authors,year,url,Abstract,Source,MatchScore,DOI,URL_found,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
Firm Leverage and Stock Price Crash Risk: The Chinese Real Estate Market and Three-Red-Lines PolicyJournal of Real Estate Finance and Economics,"Chu, X. & Deng, Y. & Tsang, D",2025,,"This study examines the relationship between firm leverage and stock price crash risk, where extant literature shows mixed findings on the impact of leverage on stock price crashes. Utilizing the Chinese real estate industry setting with high debt financing, we show that leverage is significantly positively associated with stock price crash risk. We further examine how the relationship between leverage and stock price crash risk is attributed to the unique Chinese institutional and economic environment. We show that the effect of leverage on stock price crash risk is concentrated in regions of low social trust, low marketization, and low economic growth. We next consider China’s new guidance of the “three red lines” that governs firms’ debt financing policies, and we find that, among the three-red-line debt measures, the liability-to-asset ratio is the most significant determinant of crash risk. We also examine the implementation of the guidance in August 2020 with a difference-in-difference research design, and we show that the new guidance has significantly reduced stock price crash risk for high-leverage firms. Overall, our results show consistent evidence of stock price crash risk increases for Chinese real estate firms that have shown overreliance on debt financing. Our study highlights the vital role of firm leverage on stock price crash risk that pertains specifically to highly-levered firms.",Crossref,0.0,10.1007/s11146-023-09953-0,https://doi.org/10.1007/s11146-023-09953-0,Goal 17,0.01902793463675514,False,
Misreporting of Second Liens in Portfolio Mortgages and Privately Securitized MortgagesReal Estate Economics,"Yavas, A. & Zhu, S",2024,,"Using a unique nationwide mortgage servicing dataset, this paper investigates the underreporting of second liens in portfolio mortgages and compares underreporting in portfolio versus privately securitized mortgages. Portfolio loans have more than 40% of the second liens underreported. Low documentation securitized loans have a 47% (in relative terms) lower misreporting rate than observably similar portfolio loans. The portfolio setting allows us to provide strong evidence that misreporting happens in the early stages of intermediation by lenders. The decreased occurrence of misreporting in sold loans subjected to more rigorous screening indicates the effectiveness of MBS issuers' screening, though its overall effect remains limited. Further, we show that the lender-MBS issuer affiliation also plays a role in misreporting.",,0.0,,,Goal 13,0.001843648084879071,False,
A Demand Curve for Disaster Recovery LoansEconometrica,"Collier, B. & Ellis, C",2024,,"We estimate and trace a credit demand curve for households that recently experienced damage to their homes from a natural disaster. Our administrative data include over one million applicants to a federal recovery loan program for households. We estimate extensive‐margin demand over a large range of interest rates. Our identification strategy exploits 24 natural experiments, leveraging exogenous, time‐based variation in the program's offered interest rate. Interest rates meaningfully affect consumer demand throughout the distribution of rates. On average, a 1 percentage point increase in the interest rate reduces loan take‐up by 26%. We find a large impact of applicants' credit quality on demand and evidence of monthly payment targeting. Using our estimated demand curve and information on program costs, we find that the program generates an average social surplus of $2900 per borrower.",Crossref,0.0,10.1016/b978-155558298-2/50012-9,https://doi.org/10.1016/b978-155558298-2/50012-9,Goal 1,0.0154014193723261,False,
The Impact of Co-location on Production Knowledge Transfer in Collectivist and Individualist CulturesInternational Journal of Operations and Production Management,"Kent, P. & Siemsen, E. & Shao, X",2024,,"Firms often shift production within and between countries. Such a change in the location of a process is fraught with challenges, requiring the firm to ramp-up production at the new site. Firms can overcome this hurdle by thoughtfully managing the transfer of production knowledge associated with the move. One approach to do so is co-location – moving people from the source location to the destination to ensure that team members at the destination can benefit from learnings at the source. But the transfer of tacit knowledge inherent in such a co-location approach faces different challenges across various national cultures. We employ a team-based behavioral experiment to examine knowledge transfer effectiveness within and between an individualist society (the United States) and a collectivist one (China). We look at co-location and its impact on knowledge transfer within and between these two unique cultures. We can overcome knowledge transfer challenges for Chinese recipient teams by co-locating source and recipient team members. However, co-location has little impact on the performance of US recipient teams. These results suggest that firms should assess the national cultural context when considering co-location to manage their production move. Co-location may be incredibly useful to facilitate an effective knowledge transfer in some contexts (e.g. collectivist cultures like China). This approach may not be as helpful in other contexts (e.g. individualistic cultures like the United States).",,0.0,,,Goal 12,0.01715456128293122,False,
An Analysis of Project Structure and its Impact on Project Completion DelaysProduction and Operations Management,"Bernstein, F. & DeCroix, G. & Goncalves Dosantos, J",2024,,"This paper considers a project consisting of multiple activities performed by independent players. Each player has control and discretion over the time required to complete the activity it is responsible for. Devoting a standard amount of resources to that activity would result in some base amount of time for completion. However, a player may divert some resources to outside projects in order to earn additional revenue leading to inexcusable delays in the activity under the player’s control. Such delays may or may not cause delays in the overall project completion time. If an overall project delay results, the project manager incurs a penalty based on the terms of the contract established with the customer. We study the allocation of project-level penalties (arising from inexcusable delays) among project activities, and examine how this allocation impacts the players’ decision making and the associated completion time of the project.",,0.0,,,Goal 12,0.006876363551224545,False,
A Review of Touch Research in Consumer PsychologyJournal of Consumer Psychology,"Peck, J. & Krishna, A. & Luangrath, A",2024,,"This article details the theoretical foundation of haptics in consumer research. We structure the review using a continuum from proximal touch-based interactions to increasingly distal interactions through devices, imagery, or language use. We begin with a focus on product/object touch in marketing highlighting touch for haptic information, touch for haptic pleasure, and touch for nonhaptic functional reasons. We then elaborate on research considering work compensating for actual touch through various mechanisms including device-mediated touch and imagery processing. Next, we examine interpersonal touch followed by a discussion on touch in sensory words and textual paralanguage. The authors note various avenues for future research in haptics with the aim to encourage research in consumer psychology and marketing.",,0.0,,,Goal 9,0.0103558918568296,False,
"Auditors’ professional skepticism: Traits, behavioral intentions, and actions in the fieldAuditing: A Journal of Practice & Theory","Janssen, S. & Hardies, K. & Vanstraelen, A. & Zehms, K",2024,,"Auditors’ professional skepticism is critical to applying auditing standards and achieving audit quality. Prior research provides measures of skepticism in general, and auditor-specific trait skepticism. Other research develops and tests a theoretical model of auditor professional skepticism, positing factors that contribute to skeptical intentions and skeptical actions. In this paper, we provide an empirical test of these measures and theories, examining individual differences and personality traits that affect trait-based professional skepticism, testing the associations between factors related to behavioral intentions toward skepticism, and revealing their collective association with skeptical actions. We use data from a sample of 663 auditors across all ranks from staff through partner who each completed an experiential questionnaire relating to one of their actual audit engagements. We find that individual differences (gender, experience, and knowledge) are associated with differential levels of professional trait skepticism, as are personality traits (agreeableness, conscientiousness, openness, narcissism and psychopathy).",Google Scholar (SerpAPI),93.0555555555556,,,Goal 5,0.02072340716877618,False,
Algorithm Design: A Fairness-Accuracy FrontierJournal of Political Economy,"Okumura, K. & Liang, A. & Lu, J. & Mu, X",2024,,"Algorithm designers increasingly optimize not only for accuracy but also fairness, defined as how similar accuracy is across demographic groups. We study the tradeoff between fairness and accuracy via a fairness-accuracy frontier, which consists of the optimal points (for a fixed set of inputs) across a broad range of preferences over fairness and accuracy. Our results identify a simple property of the inputs, group-balance, which qualitatively determines the shape of the frontier. We further study an information-design problem where the designer flexibly regulates the inputs (e.g., by coarsening an input or banning its use) but the algorithm is chosen by another agent. Whether it is optimal to ban an input generally depends on the designer’s preferences. But when inputs are group-balanced, then excluding group identity is strictly suboptimal for all designers, and when the designer has access to group identity, then it is strictly suboptimal to exclude any informative input.",,0.0,,,Goal 2,0.01199740598465609,False,
Machine Learning and Trade Direction Classification: Insights from the Corporate Bond MarketReview of Quantitative Finance and Accounting,"Fedenia, M. & Ronen, T. & Nam, S",2024,,Machine Learning and Trade Direction Classification: Insights from the Corporate Bond MarketReview of Quantitative Finance and Accounting,Crossref,0.0,10.2139/ssrn.4213313,https://doi.org/10.2139/ssrn.4213313,Goal 17,0.02017966380418922,False,
"WHEN SUBJECTIVE JUDGMENTS LEAD TO SPINOUTS: EMPLOYEE ENTREPRENEURSHIP UNDER UNCERTAINTY, FIRM-SPECIFICITY, AND APPROPRIABILITYAcademy of Management Review","Kaul, A. & Ganco, M. & Raffiee, J",2024,,"We advance a theoretical framework of how entrepreneurial ideas of employees are commercialized as a function of their uncertainty, firm-specificity, and appropriability. We argue that as uncertainty increases, the choice of commercialization mode will increasingly be driven by differences in subjective judgments of the idea’s value, with firms having an advantage in assessing the true value of their employee’s ideas relative to market because of their firm-specific nature. Building on this insight, we develop a formal model of commercialization choice that maps idea characteristics to commercialization outcomes—spinouts, internal commercialization, market mobility, or abandonment—while also predicting how these relationships will be moderated by the cost of startups, the value of the idea, and the institutional context, as well as how value will be created and appropriated within each mode. In particular, the model distinguishes between four different types of employee spinouts, including the previously neglected case where the employer sees value in an idea and wants to commercialize it, but the employee still prefers to start their own firm. We thus offer a more nuanced view of employee entrepreneurship, based on differences in subjective judgment under uncertainty, the firm-specific nature of employee knowledge, and appropriability regimes.",,0.0,,,Goal 9,0.01029039237876631,False,
AI-human hybrids for Marketing Research: Leveraging LLMs as CollaboratorJournal of Marketing,"Arora, N. & Chakraborty, I. & Nishimura, Y",2024,,"The authors’ central premise is that a human–LLM (large language model) hybrid approach leads to efficiency and effectiveness gains in the marketing research process. In qualitative research, they show that LLMs can assist in both data generation and analysis; LLMs effectively create sample characteristics, generate synthetic respondents, and conduct and moderate in-depth interviews. The AI–human hybrid generates information-rich, coherent data that surpasses human-only data in depth and insightfulness and matches human performance in data analysis tasks of generating themes and summaries. Evidence from expert judges shows that humans and LLMs possess complementary skills; the human–LLM hybrid outperforms its human-only or LLM-only counterpart. For quantitative research, the LLM correctly picks the answer direction and valence, with the quality of synthetic data significantly improving through few-shot learning and retrieval-augmented generation. The authors demonstrate the value of the AI–human hybrid by collaborating with a Fortune 500 food company and replicating a 2019 qualitative and quantitative study using GPT-4. For their empirical investigation, the authors design the system architecture and prompts to create personas, ask questions, and obtain responses from synthetic respondents. They provide road maps for integrating LLMs into qualitative and quantitative marketing research and conclude that LLMs serve as valuable collaborators in the insight generation process.",,0.0,,,Goal 2,0.03034771475915842,False,
Middlemen in Search Equilibrium with Intensive and Extensive MarginsInternational Economic Review,"Gong, G. & Wright, R",2024,,"We study endogenous intermediation activity, the implied transaction pattern—direct trade, indirect trade, or both—and implications for efficiency. Related papers have agents exchanging indivisible goods or assets, capturing only extensive margins (trade frequency). To capture intensive margins, we incorporate divisibility representing quantity or quality. We characterize equilibrium, show how it depends on bargaining powers and costs, and how intensive margins matter—for example, middlemen with high bargaining power may charge more but offer higher quantity/quality, thus improving welfare. A tax-subsidy policy is designed to achieve efficiency. A monetary version lets us compare money and middlemen and further discuss policy.",,0.0,,,Goal 17,0.02891702756839647,False,
"Market FreezesJournal of Money, Credit and Banking","Gu, C. & Menzio, G. & Wright, R. & Zhu, Y",2024,,"Market freezes are an interesting and theoretically challenging phenomenon —they are observed empirically, but cannot occur in standard models. This paper develops a formal theory of recurrent freezes emphasizing liquidity and self-fulfilling prophecies. While it is well understood how to get hot and cold spells, where prices and quantities fluctuate, we get asset market freezes and thaws where trade completely stops and starts. The simplest specification gets this using negative asset returns. Other specifications use information frictions or fixed costs. We also consider credit freezes, analyze the extent to which the decentralized nature of trade matters, and discuss policy implications.",,0.0,,,Goal 17,0.02122178845330934,False,trade policies
Is Money Essential: An Experimental ApproachJournal of Political Economy,"Wright, R",2024,,"Monetary exchange is called essential when better outcomes are incentive feasible with money than without it. We study essentiality theoretically, and experimentally, using finite-horizon monetary models that are naturally suited to the lab. Following mechanism design, we also study the effects of strategy recommendations, both when they are incentive compatible and when they are not. Results show output and welfare are significantly enhanced by fiat currency when monetary equilibrium exists. Also, recommendations help if incentive compatible, but not much otherwise. Sometimes money gets used when it should not, and we investigate why, using surveys and measures of social preferences.",,0.0,,,Goal 1,0.01206779663167673,False,social spending
Perceived Firm-Specific Human Capital: Mobility Constraint or Enhancer?Academy of Management Journal,"Akinsanmi, O. & Coff, R",2024,,"We explore the relationship between workers’perceptions of firm-specific human capi-tal (FSHC) and turnover. The belief that actual FSHC constrains mobility undergirds itscritical role in resource-based theory. However, this rests on a strong assumption ofinformation efficiency that market actors correctly assess how specific an individual’sskills are, and price it appropriately. Emerging theoretical viewpoints dispute this,pointing out labor market imperfections and substantial difficulty in observing FSHC.We therefore develop theory about how perceived FSHC may relate positively to mobilityby articulating a role for well-known supply-side mechanisms such as job satisfaction,embeddedness, and preference for job autonomy. Using two archival surveys and twoprimary surveys collected in very different contexts (South Korea and the United States),we found support for our theory. Perceptions of FSHC were associated with increasedmobility and thiseffect was partially mediated byjob satisfaction and job embeddedness.The effect was augmented for workers who value autonomy in their jobs (and who aremore likely to exit if they perceived their skills as FSHC). Since the effect of perceivedFSHC is quite different from that OF extant theory which focused on actual FSHC, weexplore implications for resource-based and human capital theories",Crossref,0.0,10.5465/amj.2021.0874,https://doi.org/10.5465/amj.2021.0874,Goal 8,0.0207197617663618,False,
Managers’ Perceptions and Microfoundations of Contract DesignAcademy of Management Review,"Weber, L. & Coff, R",2024,,"In interfirm exchanges such as contracts, transaction cost economics theory (TCE) argues asset specificity, critical for value creation, poses hazards requiring contractual safeguards. TCE assumes actors have foresight to mitigate these hazards even though specificity is typically hard to observe, suggesting managers’ impressions may be biased. Taking a microfoundational approach, we explore how individual negotiators form perceptions of optimal asset specificity and aggregate them to a firm-level assessment that may be influenced through negotiation. We then explore how managers may actively manipulate their counterpart’s perceptions to maximize their firm’s value capture. We theorize about when this may occur and the implications for contractual governance, value creation/capture, and repeated exchanges – each of which may vary from extant predictions. By applying both an expanded bounded rationality assumption (including cognitive distortions) and net value capture motivation symmetrically, we augment contract design research allowing it to predict when and how managers’ strategic behavior may impact exchange outcomes. As a result, this analysis provides a more nuanced understanding of when contract design may intentionally deviate from efficient governance predictions.",Crossref,0.0,10.5465/amr.2020.0301,https://doi.org/10.5465/amr.2020.0301,Goal 9,0.01066952564526338,False,
Empirical Opportunities for Advancing Theory and Research on Strategic Human CapitalJournal of Management Scientific Reports,"Kryscynski, D. & Coff, R",2024,,"The strategic human capital conversation is a vibrant research area with many empirical opportunities. In this short editorial, we describe four key research areas that would benefit from empirical advancements: (1) perceptions of mobility prospects and firm-specific human capital theory, (2) firm-specific incentives, (3) emergence of the unit-level human capital resource, and (4) value creation and value capture issues in human capital research. We describe opportunities to validate certain measures, improve existing measures, develop new measures, and replicate initial findings.",,0.0,,,Goal 16,0.01898953157652438,False,
The Risk and Return of Equity and Credit Index OptionsJournal of Financial Economics,"Doshi, H. & Ericsson, J. & Fournier, M. & Seo, S",2024,,"We develop a structural credit risk model, which allows us to price equity/credit indices and their options through the asset dynamics of index constituents. We estimate the model via MLE and find that equity and credit index option prices are well explained out-of-sample. Contrary to recent empirical findings, the two option markets are not inconsistently priced through the lens of our model. Returns on both options, while extreme, do not indicate any evidence of mispricing. Our analysis suggests that jointly addressing the pricing of various instruments requires properly attributing three different sources of systematic risk: asset, variance, and jump risks.",,0.0,,,Goal 1,0.006618834697408848,False,
Financial Returns to Household Inventory ManagementJournal of Financial Economics,"Baker, S. & Johnson, S. & Kueng, L",2024,,"Households tend to hold substantial amounts of non-financial assets in the form of consumer goods inventories that are unobserved by traditional measures of wealth, about $725 on average for products covered by our sample. Such holdings can eclipse total financial assets among households in the lowest income quintile. Households can obtain significant financial returns from strategically shopping and managing these inventories. In addition, they choose to maintain liquid savings—household working capital—not just for precautionary motives but also to support this inventory management. We demonstrate that households earn high marginal returns from investing in household working capital, well above 20% at low levels of inventory, though these marginal returns decline rapidly as inventory increases. Nevertheless, average returns from inventory management are high—about 50% for the typical household—and affect household portfolio returns substantially for all but the top income and asset quintiles. We provide evidence from scanner and survey data that supports this conclusion. For many households, working capital is therefore an important asset class that has been largely ignored by the household finance literature, and inventory management provides them with an alternative to investing in risky financial markets at low levels of liquid wealth.",Crossref,0.0,10.3386/w27740,https://doi.org/10.3386/w27740,Goal 8,0.01993658294761666,False,
Correlation in State and Local Tax ChangesJournal of Public Economics,"Baker, S. & Janas, P. & Kueng, L",2024,,"Empirical research in public economics, including our own, often uses variation in state and local taxes as an empirical laboratory to estimate causal relationships. A key concern is that other taxes might change at the same time. To assess this concern, we develop a dataset of state (1977–2022) and local (2000–2022) tax rates and revenue from personal income, corporate income, property, sales, and excise taxes. This new dataset generates two key results. First, we find that taxes of different types tend to co-move within a jurisdiction: a tax change of one type can more than double the likelihood of a second tax type changing in the same year. Local tax changes also co-move with tax changes enacted by the state they are located in. This positive correlation can upwardly bias elasticity estimates, but only moderately. For example, regressing state economic outcomes on the full set of state tax changes yields elasticities that are about 10%–30% smaller than those obtained from using a single tax type in isolation. Second, we document that the mix of taxes across state and local jurisdictions is very different, and that these differences have become more pronounced over time as jurisdictions have increasingly become reliant on the single tax type — sales, personal or corporate income tax — that was most prominent for them in the earliest part of our sample.",Crossref,0.0,10.3386/w32786,https://doi.org/10.3386/w32786,Goal 8,0.01990114372210869,False,
"Sequential Search for Corporate Bonds,Journal of Finance","Plante, S. & Lester, B. & Kargar, M. & Weill, P",2024,,"Customers in over-the-counter (OTC) markets must find a counterparty to trade. Little is known about this process, however, because existing data consist of transaction records, which only reveal the outcome of a search. Using data from a trading platform for corporate bonds, we unpack the search process. We analyze how long it takes customers to trade and how dealers’ offers evolve across repeated inquiries. We estimate that it takes 2-3 days to complete a transaction after an unsuccessful attempt, with substantial variation across trade and customer characteristics. Our analysis offers insights into the sources of trading delays in OTC markets.",Crossref,0.0,10.3386/w31904,https://doi.org/10.3386/w31904,Goal 17,0.04380579970497614,False,
Actual Private Information Disclosure in Online Social Networking Sites: A Reflective–Impulsive ModelJournal of the Association for Information Systems,"J, Z. & Wang, W. & Khansa, L. & Kim, S",2024,,"People disclose their private information on social networking sites (SNS) despite their concerns about privacy invasion—a phenomenon referred to as the privacy paradox. Extant studies explaining this paradox have primarily used privacy calculus theory, which assumes that individuals rely on reflective factors to make decisions. This theory can easily predict the intention of private information disclosure (PID) but lacks the power to explain actual PID. This study follows the reflective-impulsive model, which encompasses reflective and impulsive systems to explain actual PID. We collected data from multiple sources to test our hypotheses. We surveyed users of a leading SNS in China, retrieved the messages and photos disclosed by the survey respondents, and invited their SNS “friends” to evaluate this retrieved content to measure the respondents’ PID. Results support the research model as follows: First, in the impulsive system, immediate rewards lead to impulsiveness (compared to long-term social rewards that inhibit impulsiveness), which, in turn, influences PID. Second, in the reflective system, task-focused coping responses mediate the effects of privacy concerns and privacy self-efficacy on PID. Third, the effect of task-focused coping responses under the reflective system contrasts with impulsiveness—since the latter is not contingent on users’ privacy invasion experience. This study contributes to the information privacy literature by applying reflective-impulsive model to explain the actual PID of SNS users and by delineating the different contingent roles of users’ privacy invasion experience for both systems’ effects.",Crossref,0.0,10.17705/1jais.00889,https://doi.org/10.17705/1jais.00889,Goal 16,0.01872289856461449,False,privacy rights
The Reserve Supply Channel of Unconventional Monetary PolicyJournal of Financial Economics,"Diamond, W. & Jiang, Z. & Ma, Y",2024,,"We find that central bank reserves injected by QE crowd out bank lending. We estimate a structural model with cross-sectional instrumental variables for deposit and loan demand. Our results are determined by the elasticity of loan demand and the impact of reserve holdings on the cost of supplying loans. The reserves injected by QE raise loan rates by 8.2 basis points, and each dollar of reserves reduces bank lending by 8.1 cents. Our results imply that a large injection of central bank reserves has the unintended consequence of crowding out bank loans because of bank balance sheet costs.",Crossref,0.0,10.3386/w31693,https://doi.org/10.3386/w31693,Goal 17,0.01304994118271159,False,
Consumer Preferences and Firm Technology ChoiceInternational Journal of Research in Marketing,"Liu, Y. & Yildirim, P. & Zhang, Z",2024,,"Advances in technology change the way consumers search and shop for products. Emerging is the trend of home-shopping devices such as Amazon’s Alexa and Google Home, which allow consumers to search or order products. We investigate how consumer brand and technology preferences may interact with the functionalities of technology-enabled shopping (TES) devices to determine the channel structure and market competition.
In specific, we break the functionalities of the TES devices into two: (1) the shopping support functionality (SSF), and (2) the ordering convenience functionality (OCF). Via a series of experiments, we document that stronger brand preferences are negatively correlated with the willingness to use a TES device that offers SSF. However, there is no association with brand preferences and desire to use a TES device when it offers OCF.
We build an analytical model integrating the findings from these experiments, and then derive the equilibrium channel and pricing strategies for two competing retailers. Our findings show that the functionality of TES devices results in vastly different distribution and pricing strategies in retail markets. In particular, consumers’ heterogeneous valuation of the SSF results in a monopolistic adoption of TES devices by the retailers in equilibrium, and generates Pareto improvements for both. In contrast, when the TES devices offer OCF, in equilibrium, retailers adopt TES channels competitively, resulting in a prisoners' dilemma outcome. In the extensions, studying a third-party technology developer's decision to invest in OCF and SSF technologies, we show that the contrast between the channel strategies under the OCF and the SSF also impact the incentives to develop TES. We show that in some cases, in an effort to mitigate downstream retail competition, the provider may prefer not to offer the best possible OCF technology to consumers. These findings shed light on the future adoption and the functionalities of shopping technologies offered by retailers.",Crossref,0.0,10.2139/ssrn.5565718,https://doi.org/10.2139/ssrn.5565718,Goal 17,0.02508014952717017,False,
